,hgnc_symbol,Gene
0,SCYL3,ENSG00000000457
1,C1orf112,ENSG00000000460
2,FGR,ENSG00000000938
3,CFH,ENSG00000000971
4,C1orf201,ENSG00000001460
5,NIPAL3,ENSG00000001461
6,AK2,ENSG00000004455
7,KDM1A,ENSG00000004487
8,TTC22,ENSG00000006555
9,ST7L,ENSG00000007341
10,SELE,ENSG00000007908
11,DNAJC11,ENSG00000007923
12,FMO3,ENSG00000007933
13,E2F2,ENSG00000007968
14,CAMK1G,ENSG00000008118
15,CDK11A,ENSG00000008128
16,NADK,ENSG00000008130
17,CSDE1,ENSG00000009307
18,PAX7,ENSG00000009709
19,MASP2,ENSG00000009724
20,FAM76A,ENSG00000009780
21,TRAF3IP3,ENSG00000009790
22,C1orf124,ENSG00000010072
23,METTL13,ENSG00000010165
24,SCMH1,ENSG00000010803
25,FMO1,ENSG00000010932
26,TCEB3,ENSG00000011007
27,LYPLA2,ENSG00000011009
28,CLCN6,ENSG00000011021
29,MTMR11,ENSG00000014914
30,CLCA1,ENSG00000016490
31,CLCA4,ENSG00000016602
32,ATP1A2,ENSG00000018625
33,NCDN,ENSG00000020129
34,RUNX3,ENSG00000020633
35,C8B,ENSG00000021852
36,GLRX2,ENSG00000023572
37,PLEKHO1,ENSG00000023902
38,GCLM,ENSG00000023909
39,DEPDC1,ENSG00000024526
40,KPNA6,ENSG00000025800
41,SLAMF7,ENSG00000026751
42,INSRR,ENSG00000027644
43,SH2D2A,ENSG00000027869
44,TNFRSF1B,ENSG00000028137
45,SARS,ENSG00000031698
46,LRRC7,ENSG00000033122
47,MYOC,ENSG00000034971
48,ADSS,ENSG00000035687
49,ZZZ3,ENSG00000036549
50,FBXO42,ENSG00000037637
51,PQLC2,ENSG00000040487
52,THAP3,ENSG00000041988
53,USH2A,ENSG00000042781
54,TRIT1,ENSG00000043514
55,GUCA2B,ENSG00000044012
56,TPR,ENSG00000047410
57,VPS13D,ENSG00000048707
58,COL9A2,ENSG00000049089
59,H6PD,ENSG00000049239
60,VAMP3,ENSG00000049245
61,PER3,ENSG00000049246
62,UTS2,ENSG00000049247
63,TNFRSF9,ENSG00000049249
64,PTGER3,ENSG00000050628
65,SIKE1,ENSG00000052723
66,AKR7A2,ENSG00000053371
67,MRTO4,ENSG00000053372
68,TRAPPC3,ENSG00000054116
69,THRAP3,ENSG00000054118
70,ARID4B,ENSG00000054267
71,OPN3,ENSG00000054277
72,SDCCAG8,ENSG00000054282
73,HHAT,ENSG00000054392
74,KIF1B,ENSG00000054523
75,C1orf144,ENSG00000055070
76,MCOLN3,ENSG00000055732
77,SOAT1,ENSG00000057252
78,MSH4,ENSG00000057468
79,C1orf128,ENSG00000057757
80,LAMC2,ENSG00000058085
81,CROCC,ENSG00000058453
82,ATP2B4,ENSG00000058668
83,ZC3H11A,ENSG00000058673
84,YIPF1,ENSG00000058799
85,TMEM48,ENSG00000058804
86,TARBP1,ENSG00000059588
87,PIGV,ENSG00000060642
88,PTPRU,ENSG00000060656
89,SNRNP40,ENSG00000060688
90,COL11A1,ENSG00000060718
91,DDX20,ENSG00000064703
92,CHI3L2,ENSG00000064886
93,GNAI3,ENSG00000065135
94,WDR3,ENSG00000065183
95,PKN2,ENSG00000065243
96,SPEN,ENSG00000065526
97,TMEM206,ENSG00000065600
98,YBX1,ENSG00000065978
99,PPP2R5A,ENSG00000066027
100,TIE1,ENSG00000066056
101,KDM4A,ENSG00000066135
102,NFYC,ENSG00000066136
103,ZMYND12,ENSG00000066185
104,ASPM,ENSG00000066279
105,CD84,ENSG00000066294
106,ELOVL1,ENSG00000066322
107,LRRC40,ENSG00000066557
108,EVI5,ENSG00000067208
109,DNTTIP2,ENSG00000067334
110,RRP15,ENSG00000067533
111,PRKCZ,ENSG00000067606
112,IARS2,ENSG00000067704
113,NUP133,ENSG00000069248
114,NUCKS1,ENSG00000069275
115,KCNAB2,ENSG00000069424
116,TGFBR3,ENSG00000069702
117,KIAA1107,ENSG00000069712
118,HES2,ENSG00000069812
119,TESK2,ENSG00000070759
120,EIF2B3,ENSG00000070785
121,CDC42,ENSG00000070831
122,EPHA8,ENSG00000070886
123,FCGR2B,ENSG00000072694
124,CD5L,ENSG00000073754
125,PTGS2,ENSG00000073756
126,ENO1,ENSG00000074800
127,ARHGEF10L,ENSG00000074964
128,EIF4G3,ENSG00000075151
129,RASAL2,ENSG00000075391
130,KIFAP3,ENSG00000075945
131,FMO4,ENSG00000076258
132,KLHL20,ENSG00000076321
133,PLXNA2,ENSG00000076356
134,RAP1GAP,ENSG00000076864
135,UBE2T,ENSG00000077152
136,PPP1R12B,ENSG00000077157
137,USP33,ENSG00000077254
138,ACTN2,ENSG00000077522
139,CAPZB,ENSG00000077549
140,GPR137B,ENSG00000077585
141,GNB1,ENSG00000078369
142,NRD1,ENSG00000078618
143,SDF4,ENSG00000078808
144,TP73,ENSG00000078900
145,MKNK1,ENSG00000079277
146,CDC14A,ENSG00000079335
147,PGM1,ENSG00000079739
148,CFHR2,ENSG00000080910
149,CROCCL2,ENSG00000080947
150,RSBN1,ENSG00000081019
151,MAGI3,ENSG00000081026
152,PTPRC,ENSG00000081237
153,CACNA1S,ENSG00000081248
154,PKP1,ENSG00000081277
155,JMJD4,ENSG00000081692
156,DUSP12,ENSG00000081721
157,HSPB11,ENSG00000081870
158,IL12RB2,ENSG00000081985
159,KCNK2,ENSG00000082482
160,SERTAD4,ENSG00000082497
161,TRAF5,ENSG00000082512
162,PLOD1,ENSG00000083444
163,SMAP2,ENSG00000084070
164,PPIE,ENSG00000084072
165,ZMPSTE24,ENSG00000084073
166,EIF3I,ENSG00000084623
167,NKAIN1,ENSG00000084628
168,COL16A1,ENSG00000084636
169,TXLNA,ENSG00000084652
170,WDR47,ENSG00000085433
171,OVGP1,ENSG00000085465
172,SLC25A24,ENSG00000085491
173,IGSF9,ENSG00000085552
174,TTC39A,ENSG00000085831
175,EPS15,ENSG00000085832
176,ORC1L,ENSG00000085840
177,POMGNT1,ENSG00000085998
178,RAD54L,ENSG00000085999
179,MAST2,ENSG00000086015
180,ERO1LB,ENSG00000086619
181,ALG6,ENSG00000088035
182,ASAP3,ENSG00000088280
183,SLC9A1,ENSG00000090020
184,RGS1,ENSG00000090104
185,NUDC,ENSG00000090273
186,MUL1,ENSG00000090432
187,PABPC4,ENSG00000090621
188,USP48,ENSG00000090686
189,FH,ENSG00000091483
190,TBX15,ENSG00000092607
191,PHGDH,ENSG00000092621
192,EIF2C1,ENSG00000092847
193,TEKT2,ENSG00000092850
194,CLSPN,ENSG00000092853
195,TGFB2,ENSG00000092969
196,GPATCH2,ENSG00000092978
197,FMO2,ENSG00000094963
198,C1orf9,ENSG00000094975
199,ACOT7,ENSG00000097021
200,SH3GLB1,ENSG00000097033
201,CDC7,ENSG00000097046
202,SYDE2,ENSG00000097096
203,PALMD,ENSG00000099260
204,DVL1,ENSG00000107404
205,BCL9,ENSG00000116128
206,PRRX1,ENSG00000116132
207,DHCR24,ENSG00000116133
208,DNAJC16,ENSG00000116138
209,MARK1,ENSG00000116141
210,TNR,ENSG00000116147
211,MORN1,ENSG00000116151
212,GPX7,ENSG00000116157
213,CACYBP,ENSG00000116161
214,SCP2,ENSG00000116171
215,PAPPA2,ENSG00000116183
216,RALGPS2,ENSG00000116191
217,ANGPTL1,ENSG00000116194
218,KIAA0562,ENSG00000116198
219,FAM20B,ENSG00000116199
220,C1orf83,ENSG00000116205
221,TMEM59,ENSG00000116209
222,LRRC42,ENSG00000116212
223,WDR8,ENSG00000116213
224,NPHS2,ENSG00000116218
225,ESPNP,ENSG00000116219
226,MRPL37,ENSG00000116221
227,ICMT,ENSG00000116237
228,RPL22,ENSG00000116251
229,CHD5,ENSG00000116254
230,QSOX1,ENSG00000116260
231,STXBP3,ENSG00000116266
232,PHF13,ENSG00000116273
233,ERRFI1,ENSG00000116285
234,PARK7,ENSG00000116288
235,KIAA1324,ENSG00000116299
236,OPRD1,ENSG00000116329
237,AMPD2,ENSG00000116337
238,SFRS4,ENSG00000116350
239,MECR,ENSG00000116353
240,KCNC4,ENSG00000116396
241,EDEM3,ENSG00000116406
242,WDR77,ENSG00000116455
